Place,Count
Aachen,5
Adda,3
Afrika,9
Ahlden,6
Alpen,3
Alster,3
Altdorf,9
Altona,5
Amerika,5
Amsterdam,21
Amsterdamer,6
Anhalt,27
Anjou,11
Ansbach,18
Antwerpen,3
Aquileja,2
Armenier,3
Asien,6
Astrachan,3
Augsburg,9
Augsburger,7
Australier,3
Auvergne,4
Avranches,8
Baden,20
Bamberg,6
Barcelona,10
Bayern,97
Bayreuth,12
Beichlingen,12
Belgrad,21
Bender,4
Berlin,498
Bevern,19
Bille,3
Blankenburg,7
Bonn,3
Borgholzhausen,3
Borgoforte,3
Boulogne,3
Bourg,3
Brandenburg,134
Brandenburger,9
Braunschweig,368
Breda,3
Bremen,9
Brenta,3
Brescello,3
Breslau,18
Bretagne,3
Bristol,2
Bruchhausen,6
Brüssel,7
Buckow,6
Buda,9
Burgdorf,6
Burgund,29
Böhmen,6
Bückeburg,10
Cadiz,3
Cambray,2
Cambridge,5
Campen,6
Celle,223
Chaldäa,6
Chaldäer,18
Champagne,2
Charlottenburg,9
China,28
Chios,3
Clausthal,3
Condom,3
Coppenbrügge,2
Crossen,2
Dalmatien,3
Danzig,9
Den Haag,21
Detmold,3
Deutschland,52
Dixmuiden,3
Dohna,18
Donau,22
Donauwörth,9
Dover,2
Dresden,32
Dänemark,96
Düsseldorf,6
Ebdorff,3
Ebstorf,21
Eider,3
Elbe,14
Elbing,2
England,391
Engländer,114
Ephesus,3
Essen,19
Etsch,3
Euböa,3
Europa,45
Europäer,3
Ferrara,3
Finnland,9
Florenz,12
Franken,8
Frankfurt,23
Frankreich,334
Franzose,6
Freising,3
Friesland,5
Fuentes,3
Fürstenberg,9
Fürstenfeldbruck,3
Gandersheim,3
Genf,3
Genua,5
Gibel,2
Gibraltar,3
Glogau,3
Goslar,3
Gotha,6
Graupen,6
Greiffenstein,3
Greifswald,2
Großbritannien,49
Großburgwedel,3
Grönland,3
Gundelsheim,3
Göhrde,18
Göteborg,6
Güstrow,3
Hackelberg,3
Halle,6
Hamburg,46
Hammerstein,20
Hannover,733
Harburg,10
Harburger,6
Harz,24
Heidelberg,8
Helmstedt,26
Herford,3
Herrenhausen,178
Herzberg,3
Hessen,16
Hessen-Kassel,3
Het Loo,12
Hildesheim,47
Hildesheimer,10
Holland,139
Holländer,41
Holstein,63
Homburg,3
Hundisburg,3
Idria,3
Ilok,3
Indien,18
Ingenheim,3
Inn,5
Innsbruck,5
Irland,6
Israel,3
Italien,67
Italiener,18
Jena,7
Jerusalem,3
Kairo,6
Kap der Guten Hoffnung,2
Karlsbad,16
Kasan,3
Kassel,31
Kehl,3
Kiel,3
Kiew,3
Kliszów,6
Kniphausen,6
Koblenz,3
Konstantinopel,12
Kopenhagen,3
Krakau,39
Kroatien,3
Kurland,24
Kurpfalz,3
Kärnten,3
Köln,37
Königreich,46
Königsberg,3
Königsmarck,24
Königstein,9
Köpenick,5
La Trappe,9
Lamspringe,9
Landsberg,2
Lauenburg,6
Laxemburg,3
Laxenburg,2
Lehnin,9
Leipzig,19
Lenzen,9
Levante,6
Lichtenburg,2
Linsburg,54
Linz,6
Litauen,15
Litauer,3
Livland,9
Loccum,26
Lombardei,6
London,30
Loreto,6
Lothringen,41
Lustenburg,15
Lyon,9
Lübeck,3
Lüneborg,3
Lüneburg,42
Lüttich,15
Maas,11
Maastricht,6
Madrid,6
Magdeburg,30
Mailand,13
Maine,6
Maintenon,12
Mainz,14
Malchow,6
Malta,3
Mantua,9
Marienbad,3
Marlborough,69
Martinitz,3
Maubuisson,12
Meaux,42
Mecklenburg,16
Melle,3
Memel,2
Merseburg,9
Meseritz,3
Mittelmeer,3
Modena,50
Monferrato,2
Monmouth,6
Montepulciano,2
Moray,3
Morea,3
Moskau,14
München,15
Münster,22
Namur,6
Nassau,5
Nauplia,3
Neapel,18
Neuburg,8
Newcastle,6
Niederlande,3
Niedersachsen,2
Niederösterreich,2
Nienburg,6
Nimwegen,3
Nizza,3
Nola,3
Nordhausen,14
Nordmeer,3
Norwegen,6
Nöteburg,9
Nürnberg,6
Oberrhein,2
Oeynhausen,3
Oldenburg,3
Orange,8
Oranien,50
Oranienbaum,3
Oranienburg,30
Orléans,44
Osnabruck,6
Osnabrück,39
Osnabrücker,9
Osterode,5
Ostfriesland,27
Ostrog,3
Ostsee,6
Paderborn,3
Pamiers,3
Paris,83
Peine,2
Peking,3
Pembroke,6
Persien,6
Pest,6
Petersburg,6
Peterwardein,6
Pfalz,53
Pfalz-Neuburg,3
Philippsburg,9
Piemont,3
Pinneberg,3
Plittersdorf,3
Po,6
Pole,3
Polen,256
Pommern,16
Porto,2
Portugal,5
Portugiesen,3
Posen,6
Potsdam,30
Pottendorf,3
Prag,6
Preußen,262
Pruth,2
Pyrmont,15
Quedlinburg,9
Raab,9
Rantzau,27
Rappach,6
Rastatt,2
Ratzeburg,3
Ravenna,3
Regensburg,12
Rhein,35
Rhône,2
Riga,9
Rijswijk,8
Rom,92
Rotterdam,3
Ruhr,12
Russland,3
Römer,18
Sachsen,152
Sachsen-Gotha,3
Sachsen-Lauenburg,3
Sachsen-Merseburg,6
Saint Cyr,3
Saint Germain,12
Saint James,2
Saint-Germain,6
Salisbury,11
Salm,26
Salzburg,3
Salzdahlum,19
Savoyen,25
Scarlati,3
Schlesien,6
Schotte,11
Schottland,33
Schulenburg,41
Schwarze Meer,3
Schwede,3
Schweden,331
Schwedt,3
Schönhausen,6
Seeland,3
Seesen,3
Sesto,6
Shrewsbury,6
Siebenbürgen,9
Siena,3
Singen,3
Sizilien,6
Smyrna,3
Soest,3
Sorbonne,12
Spandau,12
Spanheim,21
Spanien,88
Spanier,30
Stade,5
Stamford,24
Steevenswert,3
Steiermark,3
Sternberg,2
Stettin,4
Stockholm,5
Stormarn,3
Stör,6
Sulzbach,9
Tangermünde,3
Temeswar,6
Teplitz,7
Tettau,3
Thorn,3
Thüringen,2
Tirol,8
Tiroler,2
Tokaj,2
Torgau,12
Toskana,12
Transsilvanien,5
Trier,5
Turku,2
Tönning,11
Türkei,3
Ulm,9
Ungarn,42
Ursel,36
Utrecht,8
Vaudémont,6
Venedig,32
Venetien,3
Venezianer,15
Venlo,3
Vesuv,3
Vigo,3
Walachei,3
Walachen,6
Wales,48
Wangenheim,9
Wardein,3
Warschau,50
Wartenberg,48
Weichsel,3
Wesel,3
Weser,2
Weyhausen,2
Wien,204
Wildeshausen,6
Wismar,3
Wittenberg,9
Wolfenbüttel,194
Württemberg,17
York,3
Zell,3
Zellerfeld,6
Zerbst,6
Ziesar,3
Zweibrücken,8
Ägypten,9
Ägypter,9
Äthiopien,3
Ätna,2
